start_idx,start_date,start_price,trigger_idx,trigger_date,trigger_price,trough_idx,trough_date,trough_price,recovery_idx,recovery_end_idx,initial_drop_pct,additional_drop_pct,total_drop_pct,max_drawdown_pct,days_to_trigger,days_to_trough,days_to_recovery,total_duration,recovered,recovery_rate
15,2012-03-23,5422.3301,45,2012-05-11,5108.5601,62,2012-06-06,4737.75,121.0,121,-5.786626675495105,-7.258603065078939,-12.625201479341882,-12.625201479341882,49,75,160.0,160,True,-4.466349254539114
131,2012-09-14,5926.8999,153,2012-10-16,5608.1299,186,2012-12-05,5323.21,202.0,202,-5.378359772872162,-5.0804796800444985,-10.185592977536203,-10.185592977536203,32,82,108.0,108,True,-4.790023533213383
292,2013-05-20,6466.6699,317,2013-06-25,6086.2202,368,2013-09-09,5605.2598,453.0,453,-5.883239841885236,-7.902448222297314,-13.320768081884001,-13.320768081884001,36,112,241.0,241,True,-4.6343775797184295
453,2014-01-16,6166.98,479,2014-02-25,5835.9199,479,2014-02-25,5835.9199,480.0,480,-5.368269396041494,0.0,-5.368269396041494,-5.368269396041494,40,40,41.0,41,True,-4.77008033105345
653,2014-11-14,7501.0898,662,2014-11-27,7115.8892,740,2015-03-30,6782.4302,756.0,756,-5.135261812223607,-4.686118496617399,-9.580735855208665,-9.580735855208665,13,136,161.0,161,True,-4.950080720270799
831,2015-08-14,7462.3398,860,2015-09-28,7078.6401,959,2016-02-25,6202.6401,,1258,-5.141814903684768,-12.375258349410927,-16.880760374916193,-16.880760374916193,45,195,,654,False,
1286,2017-07-10,6758.2402,1312,2017-08-16,6417.4102,1396,2017-12-20,6321.3599,1404.0,1404,-5.043176772556855,-1.4967143599453854,-6.464409181549952,-6.464409181549952,37,163,177.0,177,True,-4.361197460841959
1489,2018-05-16,6483.4702,1519,2018-07-02,6128.3398,1595,2018-10-19,5761.0898,1861.0,1861,-5.47747408478873,-5.992650733890441,-11.14187892773842,-11.14187892773842,47,156,561.0,561,True,-4.3549224611227455
1862,2019-11-29,6211.9702,1887,2020-01-08,5898.8398,1931,2020-05-12,4247.9502,2026.0,2026,-5.040758244461636,-27.986683076221187,-31.616700286166854,-31.616700286166854,40,165,304.0,304,True,-2.95832069509927
2026,2020-09-28,6028.2002,2030,2020-10-05,5587.1802,2031,2020-10-06,5534.6099,2034.0,2034,-7.3159481332421645,-0.9409093338353292,-8.188021028233267,-8.188021028233267,7,8,11.0,11,True,-3.8067746986903406
2038,2020-10-15,5920.0,2047,2020-10-28,5600.2002,2047,2020-10-28,5600.2002,2048.0,2048,-5.402023648648645,0.0,-5.402023648648645,-5.402023648648645,13,13,14.0,14,True,-3.267064189189195
2099,2021-01-15,7734.5698,2124,2021-02-23,7329.21,2140,2021-03-19,6854.3198,2153.0,2153,-5.240883597688914,-6.47941865494371,-11.380723463120082,-11.380723463120082,39,63,83.0,83,True,-4.164547070219726
2154,2021-04-09,7458.27,2163,2021-04-27,7066.7002,2163,2021-04-27,7066.7002,2164.0,2164,-5.250142459310272,0.0,-5.250142459310272,-5.250142459310272,18,18,19.0,19,True,-2.927355807714127
2247,2021-08-31,8997.5996,2256,2021-09-13,8536.8799,2256,2021-09-13,8536.8799,2257.0,2257,-5.120473464945024,0.0,-5.120473464945024,-5.120473464945024,13,13,14.0,14,True,-3.389792984342177
2331,2022-01-04,12800.54,2354,2022-02-09,12081.69,2395,2022-04-26,6905.3701,,2694,-5.615778709335703,-42.84433634698457,-46.05407193759014,-46.05407193759014,36,112,,566,False,
2704,2023-08-08,11724.22,2720,2023-08-31,11114.17,2818,2024-01-24,10274.39,2848.0,2848,-5.203331223740252,-7.555939849759367,-12.366110496050057,-12.366110496050057,23,169,217.0,217,True,-4.681078997152898
2903,2024-06-06,12310.78,2933,2024-07-22,11539.83,2970,2024-09-12,10567.26,2979.0,2979,-6.2623976709842974,-8.427940446263072,-14.162546971028647,-14.162546971028647,46,98,113.0,113,True,-4.3612183793390935
3055,2025-01-22,16828.8,3081,2025-03-04,15870.25,3103,2025-04-07,14660.45,3124.0,3124,-5.695890378398931,-7.623068319654696,-12.884757083095637,-12.884757083095637,41,75,112.0,112,True,-4.145037079292635
3143,2025-06-11,17657.6,3151,2025-06-23,16765.4,3151,2025-06-23,16765.4,3152.0,3152,-5.052781805001796,0.0,-5.052781805001796,-5.052781805001796,12,12,13.0,13,True,-2.641355563609993
3233,2025-10-22,22791.07,3263,2025-12-05,21497.08,3263,2025-12-05,21497.08,,3263,-5.677618470743138,0.0,-5.677618470743138,-5.677618470743138,44,44,,44,False,
