start_date,peak_date,peak_price,trough_date,trough_price,max_drawdown,recovery_date,recovery_price,days_to_trough,days_to_recovery,total_duration,peak_idx,trough_idx,recovery_idx,max_drawdown_pct
2012-04-24,2012-04-26,5445.0098,2012-06-06,4737.75,-0.12989137319826308,2012-09-07,5496.8501,41,134.0,134.0,36,62,126.0,-12.989137319826307
2012-04-25,2012-04-26,5445.0098,2012-06-06,4737.75,-0.12989137319826308,2012-09-07,5496.8501,41,134.0,134.0,36,62,126.0,-12.989137319826307
2012-10-01,2012-10-01,5964.29,2012-12-05,5323.21,-0.10748638983013903,2013-04-24,5933.73,65,205.0,205.0,142,186,276.0,-10.748638983013903
2013-08-08,2013-08-16,6233.21,2013-09-09,5605.2598,-0.1007426671008999,2014-01-22,6212.6699,24,159.0,159.0,353,368,457.0,-10.07426671008999
2013-08-12,2013-08-16,6233.21,2013-09-09,5605.2598,-0.1007426671008999,2014-01-22,6212.6699,24,159.0,159.0,353,368,457.0,-10.07426671008999
2013-08-13,2013-08-16,6233.21,2013-09-09,5605.2598,-0.1007426671008999,2014-01-22,6212.6699,24,159.0,159.0,353,368,457.0,-10.07426671008999
2013-08-14,2013-08-16,6233.21,2013-09-09,5605.2598,-0.1007426671008999,2014-01-22,6212.6699,24,159.0,159.0,353,368,457.0,-10.07426671008999
2013-08-15,2013-08-16,6233.21,2013-09-09,5605.2598,-0.1007426671008999,2014-01-22,6212.6699,24,159.0,159.0,353,368,457.0,-10.07426671008999
2014-11-13,2014-11-19,7548.23,2015-02-02,7000.0601,-0.07262231013098434,,,75,,,656,704,,-7.262231013098434
2014-11-14,2014-11-19,7548.23,2015-02-02,7000.0601,-0.07262231013098434,,,75,,,656,704,,-7.262231013098434
2014-11-17,2014-11-19,7548.23,2015-02-02,7000.0601,-0.07262231013098434,,,75,,,656,704,,-7.262231013098434
2014-11-18,2014-11-19,7548.23,2015-02-02,7000.0601,-0.07262231013098434,,,75,,,656,704,,-7.262231013098434
2015-12-28,2015-12-31,6894.5,2016-03-09,5862.3501,-0.14970627311625215,,,69,,,923,967,,-14.970627311625215
2015-12-29,2015-12-31,6894.5,2016-03-09,5862.3501,-0.14970627311625215,,,69,,,923,967,,-14.970627311625215
2015-12-30,2015-12-31,6894.5,2016-03-09,5862.3501,-0.14970627311625215,,,69,,,923,967,,-14.970627311625215
2019-04-30,2019-04-30,5478.4102,2019-05-15,5199.98,-0.05082317494224888,2019-07-04,5508.9702,15,65.0,65.0,1718,1728,1762.0,-5.082317494224888
2020-02-18,2020-02-19,5847.8301,2020-05-12,4247.9502,-0.27358522266233415,2020-09-24,5811.2002,83,218.0,218.0,1914,1931,2024.0,-27.358522266233415
2020-09-25,2020-10-02,6050.1699,2020-10-06,5534.6099,-0.08521413588732434,2020-11-05,6004.1099,4,34.0,34.0,2029,2031,2052.0,-8.521413588732434
2020-09-28,2020-10-02,6050.1699,2020-10-06,5534.6099,-0.08521413588732434,2020-11-05,6004.1099,4,34.0,34.0,2029,2031,2052.0,-8.521413588732434
2020-09-29,2020-10-02,6050.1699,2020-10-06,5534.6099,-0.08521413588732434,2020-11-05,6004.1099,4,34.0,34.0,2029,2031,2052.0,-8.521413588732434
2020-09-30,2020-10-02,6050.1699,2020-10-06,5534.6099,-0.08521413588732434,2020-11-05,6004.1099,4,34.0,34.0,2029,2031,2052.0,-8.521413588732434
2021-01-18,2021-01-27,8812.0098,2021-03-19,6854.3198,-0.2221615777140874,2021-08-25,8756.6299,51,210.0,210.0,2107,2140,2243.0,-22.21615777140874
2021-01-19,2021-01-27,8812.0098,2021-03-19,6854.3198,-0.2221615777140874,2021-08-25,8756.6299,51,210.0,210.0,2107,2140,2243.0,-22.21615777140874
2021-01-20,2021-01-27,8812.0098,2021-03-19,6854.3198,-0.2221615777140874,2021-08-25,8756.6299,51,210.0,210.0,2107,2140,2243.0,-22.21615777140874
2021-01-21,2021-01-27,8812.0098,2021-03-19,6854.3198,-0.2221615777140874,2021-08-25,8756.6299,51,210.0,210.0,2107,2140,2243.0,-22.21615777140874
2021-01-22,2021-01-27,8812.0098,2021-03-19,6854.3198,-0.2221615777140874,2021-08-25,8756.6299,51,210.0,210.0,2107,2140,2243.0,-22.21615777140874
