date,close,returns,sma_10,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,macd,macd_signal,macd_hist,rsi_14,rsi_7,volatility_10,volatility_20,volatility_60,return_1d,momentum_1,return_3d,momentum_3,return_5d,momentum_5,return_7d,momentum_7,return_10d,momentum_10,return_20d,momentum_20,return_50d,momentum_50,price_vs_sma20,price_vs_sma50,price_vs_sma200,sma20_vs_sma50,sma50_vs_sma200,vol_regime,price_velocity,volume_proxy,drawdown_velocity,consecutive_down_days,fear_index,local_dd_20,local_recovery_20,local_dd_60,local_recovery_60,local_dd_120,local_recovery_120,local_dd_252,local_recovery_252,trend_strength,momentum_accel,will_have_downturn,additional_severity,days_to_trough,will_recover,days_to_recovery
2012-02-23,5507.6021,,,,,,,5507.6021,5507.6021,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,False,,,,
2012-02-24,5566.2998,0.010657578186339833,,,,,,5516.6325153846155,5511.950077777778,4.682437606837993,0.9364875213675987,3.745950085470395,,,,,,0.010657578186339833,0.010657578186339833,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,False,,,,
2012-02-27,5476.5898,-0.016116631015814176,,,,,,5510.4720976331355,5509.330797942386,1.1412996907492925,0.9774499552439375,0.16384973550535498,,,,,,-0.016116631015814176,-0.016116631015814176,,,,,,,,,,,,,,,,,,,,,,1,0.0,,,,,,,,,,,False,,,,
2012-03-05,5464.8101,-0.002150918807174551,,,,,,5503.447174920346,5506.032968465172,-2.585793544826629,0.26480125522982423,-2.850594800056453,,,,,,-0.002150918807174551,-0.002150918807174551,-0.0077696244614331444,-0.0077696244614331444,,,,,,,,,,,,,,,,,,,,2,0.0,,,,,,,,,,,False,,,,
2012-03-06,5477.6699,0.002353201623602752,,,,,,5499.481440317216,5503.932000430716,-4.450560113499705,-0.6782710185160816,-3.7722890949836234,,,,,,0.002353201623602752,0.002353201623602752,-0.015922588287465178,-0.015922588287465178,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,False,,,,
2012-03-08,5456.5098,-0.003862974656431928,,,,,,5492.870418729952,5500.419244843255,-7.548826113303221,-2.05238203747351,-5.496444075829711,,,,,,-0.003862974656431928,-0.003862974656431928,-0.003666515246403823,-0.003666515246403823,-0.009276686854339022,-0.009276686854339022,,,,,,,,,,,,,,,38.841460000000005,,-0.016116631015814176,1,0.0,,,,,,,,,,,False,,,,
2012-03-09,5456.27,-4.394750651770529e-05,,,,,,5487.23958507919,5497.148930410422,-9.909345331231634,-3.623774696225135,-6.285570635006499,,,,,,-4.394750651770529e-05,-4.394750651770529e-05,-0.0015627441473216042,-0.0015627441473216042,-0.0197671350723867,-0.0197671350723867,,,,,,,,,,,,,,,27.14987999999994,,-0.016116631015814176,2,0.0,,,,,,,,,,,False,,,,
2012-03-13,5423.2598,-0.006049957205197076,,,,,,5477.396541220853,5491.675661491131,-14.279120270278327,-5.754843811035773,-8.524276459242554,,31.459750906125095,,,,-0.006049957205197076,-0.006049957205197076,-0.009933073915242674,-0.009933073915242674,-0.009737811657904327,-0.009737811657904327,-0.015313796906279875,-0.015313796906279875,,,,,,,,,,,,,15.809920000000057,,-0.006049957205197076,3,0.0,,,,,,,,,,,False,,,,
2012-03-14,5418.0698,-0.0009569890050260543,,,,,,5468.2693502637985,5486.223375454751,-17.954025190952052,-8.19468008701903,-9.759345103933022,,7.39283102662074,,,,-0.0009569890050260543,-0.0009569890050260543,-0.00704479629084509,-0.00704479629084509,-0.008552959598724152,-0.008552959598724152,-0.026629898734523705,-0.026629898734523705,,,,,,,,,,,,,14.491979999999966,,-0.006049957205197076,4,0.3,,,,,,,,,,,False,,,,
2012-03-15,5397.2002,-0.0038518514471703735,5464.42813,,,,,5457.335634838599,5479.629066161806,-22.293431323207187,-11.014430334256662,-11.279000988950525,,12.23470447795603,,,,-0.0038518514471703735,-0.0038518514471703735,-0.0108260405001952,-0.0108260405001952,-0.014690498235390148,-0.014690498235390148,-0.014496174243321946,-0.014496174243321946,,,,,,,,,,,,,16.09393999999993,,-0.006049957205197076,5,0.3,,,,,,,,,,,False,,,,
