date,close,prob_minus_5,prob_minus_10,prob_minus_20,prob_plus_5,prob_plus_10,prob_plus_20,alert_minus_5,alert_minus_10,alert_minus_20,alert_plus_5,alert_plus_10,alert_plus_20,vol_regime,actual_plus_5,actual_plus_10,actual_plus_20,actual_minus_5,actual_minus_10,actual_minus_20
2025-06-06,17394.45,0.1499,0.05935,0.01665,0.15415,0.0702,0.0247,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-06-09,17500.24,0.14915,0.0614,0.01815,0.15535,0.06905,0.02455,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-06-11,17657.6,0.15185,0.06065,0.01685,0.1664,0.0756,0.0276,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,1,0,0
2025-06-12,17661.45,0.16425,0.06905,0.02195,0.17175,0.0808,0.02955,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,1,0,0
2025-06-13,17427.08,0.1537,0.0649,0.01735,0.16245,0.07285,0.02785,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-06-16,17360.19,0.18455,0.08505,0.0246,0.1879,0.0914,0.0362,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-06-17,17281.95,0.1643,0.07085,0.0216,0.17585,0.08245,0.02945,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-06-18,17071.44,0.16475,0.07045,0.02045,0.16525,0.07825,0.03035,WATCH,NONE,NONE,NONE,NONE,NONE,False,1,0,0,0,0,0
2025-06-19,16818.21,0.17895,0.07775,0.0242,0.19245,0.0914,0.03385,WATCH,NONE,NONE,NONE,NONE,NONE,False,1,0,0,0,0,0
2025-06-20,17087.95,0.1971,0.08965,0.02875,0.21575,0.10985,0.0442,WATCH,NONE,NONE,NONE,NONE,NONE,False,1,0,0,0,0,0
2025-06-23,16765.4,0.241,0.1214,0.045,0.24585,0.136,0.0624,WATCH,WARNING,NONE,WATCH,WARNING,CRITICAL,True,1,0,0,0,0,0
2025-06-24,17191.2,0.2676,0.15195,0.0609,0.2743,0.167,0.08125,WATCH,WARNING,NONE,WATCH,WARNING,CRITICAL,True,1,0,0,0,0,0
2025-06-25,17535.62,0.2873,0.1707,0.0711,0.30135,0.18935,0.0943,WATCH,WARNING,NONE,WATCH,WARNING,CRITICAL,True,0,0,0,0,0,0
2025-06-26,17740.46,0.28245,0.1656,0.0683,0.28915,0.1777,0.0871,WATCH,WARNING,NONE,WATCH,WARNING,CRITICAL,True,0,0,0,0,0,0
2025-06-27,17872.74,0.2713,0.14865,0.0585,0.272,0.16175,0.07735,WATCH,WARNING,NONE,WATCH,WARNING,CRITICAL,True,1,0,0,0,0,0
2025-06-30,18026.72,0.253,0.1348,0.0485,0.2562,0.14635,0.0673,WATCH,WARNING,NONE,WATCH,WARNING,CRITICAL,True,1,0,0,0,0,0
2025-07-01,17996.73,0.2437,0.1262,0.04605,0.24945,0.14195,0.0642,WATCH,WARNING,NONE,WATCH,WARNING,CRITICAL,True,1,0,0,0,0,0
2025-07-02,18141.79,0.22605,0.11265,0.04075,0.23745,0.1259,0.05445,WATCH,NONE,NONE,WATCH,NONE,NONE,False,0,0,0,0,0,0
2025-07-03,18100.92,0.2222,0.11045,0.04035,0.23315,0.12795,0.05505,WATCH,NONE,NONE,WATCH,NONE,NONE,False,0,0,0,0,0,0
2025-07-04,18148.34,0.21095,0.10235,0.0361,0.22465,0.12095,0.04995,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-07-07,18042.2,0.19885,0.09455,0.03345,0.20735,0.1064,0.045,WATCH,NONE,NONE,NONE,NONE,NONE,False,1,0,0,0,0,0
2025-07-08,18032.12,0.19725,0.09525,0.03275,0.20495,0.10655,0.0447,WATCH,NONE,NONE,NONE,NONE,NONE,False,1,0,0,0,0,0
2025-07-09,18161.49,0.1855,0.08405,0.0267,0.1895,0.09585,0.0381,WATCH,NONE,NONE,NONE,NONE,NONE,False,1,0,0,0,0,0
2025-07-11,18541.26,0.1815,0.0812,0.0255,0.1941,0.0964,0.03765,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-07-14,18838.39,0.22085,0.1086,0.0379,0.22965,0.1226,0.0517,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-07-15,18946.27,0.22165,0.1055,0.03605,0.2339,0.12815,0.0539,WATCH,NONE,NONE,WATCH,NONE,NONE,False,0,0,0,0,0,0
2025-07-16,18884.96,0.20895,0.09895,0.0331,0.2105,0.11255,0.0466,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-07-17,18876.85,0.1958,0.09155,0.0302,0.20695,0.10495,0.04445,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-07-18,18973.7,0.17965,0.0807,0.02615,0.18675,0.0918,0.0367,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-07-21,19044.08,0.1739,0.0736,0.0252,0.18335,0.08885,0.03535,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-07-22,19091.93,0.16395,0.07215,0.02285,0.17425,0.08445,0.03215,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-07-23,19243.08,0.15235,0.06325,0.0187,0.16175,0.0745,0.0281,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-07-24,19379.24,0.1688,0.07215,0.023,0.16985,0.0777,0.0295,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-07-25,19467.71,0.1627,0.0683,0.0213,0.17605,0.0834,0.0309,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-07-28,19517.86,0.15855,0.06895,0.02045,0.16135,0.07495,0.02775,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-07-29,19532.2,0.1455,0.0626,0.01935,0.14775,0.06405,0.02295,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-07-30,19566.15,0.13315,0.0536,0.01715,0.14015,0.0651,0.0246,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-07-31,19642.48,0.12485,0.0505,0.01655,0.13125,0.05515,0.0199,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-08-01,19914.25,0.1222,0.0463,0.01245,0.13115,0.058,0.0207,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-08-04,19786.23,0.16875,0.0751,0.0229,0.1675,0.0778,0.0306,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-08-05,19718.0,0.1842,0.08455,0.0289,0.18945,0.09275,0.03775,WATCH,NONE,NONE,NONE,NONE,NONE,False,1,0,0,0,0,0
2025-08-06,19804.8,0.1735,0.07645,0.0242,0.179,0.0867,0.0338,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-08-07,19826.57,0.17185,0.07425,0.0221,0.17355,0.08335,0.03315,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-08-11,19923.02,0.15005,0.06285,0.01955,0.16235,0.07275,0.0285,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-08-12,19972.79,0.153,0.064,0.02025,0.1624,0.07505,0.0295,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-08-13,19975.5,0.13905,0.05645,0.01725,0.1458,0.065,0.0253,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-08-14,19928.67,0.13175,0.0526,0.01645,0.1381,0.06215,0.0226,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-08-15,20218.36,0.1293,0.05365,0.01605,0.13975,0.0616,0.02145,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-08-18,20470.52,0.17555,0.07955,0.02555,0.18675,0.09285,0.03835,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-08-19,20571.07,0.1888,0.08585,0.02955,0.19515,0.09745,0.0401,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-08-20,20714.8,0.1713,0.0766,0.02485,0.17965,0.085,0.03325,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-08-21,20715.49,0.1727,0.0749,0.02635,0.178,0.08495,0.03415,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-08-22,20649.2,0.16225,0.0721,0.02135,0.1697,0.0804,0.032,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-08-25,20575.59,0.1563,0.0663,0.0206,0.16755,0.07845,0.02805,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-08-26,20613.39,0.1537,0.0648,0.0219,0.16375,0.07495,0.03,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-08-27,20753.21,0.15055,0.06365,0.01945,0.15325,0.06965,0.02595,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-08-28,20800.26,0.1571,0.06485,0.02115,0.16405,0.0766,0.0297,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-08-29,20997.36,0.14045,0.0562,0.01655,0.1501,0.06615,0.02585,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-09-01,21062.45,0.158,0.0699,0.0203,0.1736,0.0817,0.03105,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
